Type,Title,Summary,Author,Publication Date,normalized_text,tokens,filtered_tokens,stemmed_words,lemmatized_words
News,Debate rages over Alzheimer’s drug lecanemab as UK limits approval,"The medicine is being assessed by agencies including the European Union regulator, but the community is divided on its efficacy and safety.",Diana Kwon,22-Aug-24,debate rages over alzheimers drug lecanemab as uk limits approval,"['debate', 'rages', 'over', 'alzheimers', 'drug', 'lecanemab', 'as', 'uk', 'limits', 'approval']","['debate', 'rages', 'alzheimers', 'drug', 'lecanemab', 'uk', 'limits', 'approval']","['debat', 'rage', 'alzheim', 'drug', 'lecanemab', 'uk', 'limit', 'approv']","['debate', 'rage', 'alzheimers', 'drug', 'lecanemab', 'uk', 'limit', 'approval']"
News,AI made of jelly ‘learns’ to playPong— and improves with practice,"Inspired by neurons in a dish playing the classic video game, researchers show that synthetic hydrogels have a basic ‘memory’.",Gemma Conroy,22-Aug-24,ai made of jelly learns to playpong and improves with practice,"['ai', 'made', 'of', 'jelly', 'learns', 'to', 'playpong', 'and', 'improves', 'with', 'practice']","['ai', 'made', 'jelly', 'learns', 'playpong', 'improves', 'practice']","['ai', 'made', 'jelli', 'learn', 'playpong', 'improv', 'practic']","['ai', 'made', 'jelly', 'learns', 'playpong', 'improves', 'practice']"
Nature Podcast,AI can’t learn new things forever — an algorithm can fix that,"AIs based on deep learning struggle to keep learning new things, but ‘waking up’ their ‘neurons’ could help overcome this — plus, how video games gave peoples’ mental health a boost during the pandemic.","Benjamin Thompson, Nick Petrić Howe",21-Aug-24,ai cannot learn new things forever  an algorithm can fix that,"['ai', 'can', 'not', 'learn', 'new', 'things', 'forever', 'an', 'algorithm', 'can', 'fix', 'that']","['ai', 'learn', 'new', 'things', 'forever', 'algorithm', 'fix']","['ai', 'learn', 'new', 'thing', 'forev', 'algorithm', 'fix']","['ai', 'learn', 'new', 'thing', 'forever', 'algorithm', 'fix']"
Nature Video,The future of detecting gravitational waves: A three minute guide,"Current techniques to spot gravitational waves can only detect them in a narrow band, so researchers are investigating new techniques to spot these ripples in space-time.","Emily Bates, Davide Castelvecchi",21-Aug-24,the future of detecting gravitational waves a three minute guide,"['the', 'future', 'of', 'detecting', 'gravitational', 'waves', 'a', 'three', 'minute', 'guide']","['future', 'detecting', 'gravitational', 'waves', 'three', 'minute', 'guide']","['futur', 'detect', 'gravit', 'wave', 'three', 'minut', 'guid']","['future', 'detecting', 'gravitational', 'wave', 'three', 'minute', 'guide']"
Article,Catalytic asymmetric synthesis ofmetabenzene isosteres,"A palladium-catalysed reaction converts hydrocarbon-derived precursors to chiral boron-containing nortricyclanes, and the shape of these nortricyclanes makes them plausible isosteres formetadisubstituted aromatic rings.","Mingkai Zhang, Matthew Chapman, James P. Morken",21-Aug-24,catalytic asymmetric synthesis ofmetabenzene isosteres,"['catalytic', 'asymmetric', 'synthesis', 'ofmetabenzene', 'isosteres']","['catalytic', 'asymmetric', 'synthesis', 'ofmetabenzene', 'isosteres']","['catalyt', 'asymmetr', 'synthesi', 'ofmetabenzen', 'isoster']","['catalytic', 'asymmetric', 'synthesis', 'ofmetabenzene', 'isosteres']"
Article,Chiral kagome superconductivity modulations with residual Fermi arcs,"Using normal and Josephson scanning tunnelling microscopy, chiral kagome superconductivity modulations with corresponding residual Fermi arcs are detected in KV3Sb5and CsV3Sb5.","Hanbin Deng, Hailang Qin, Jia-Xin Yin",21-Aug-24,chiral kagome superconductivity modulations with residual fermi arcs,"['chiral', 'kagome', 'superconductivity', 'modulations', 'with', 'residual', 'fermi', 'arcs']","['chiral', 'kagome', 'superconductivity', 'modulations', 'residual', 'fermi', 'arcs']","['chiral', 'kagom', 'superconduct', 'modul', 'residu', 'fermi', 'arc']","['chiral', 'kagome', 'superconductivity', 'modulation', 'residual', 'fermi', 'arc']"
Article,Effective realization of abatement measures can reduce HFC-23 emissions,Fulfilment of current abatement technology at the factory level could reduce HFC-23 emissions by approximately 84%.,"Dominique Rust, Martin K. Vollmer, Stefan Reimann",21-Aug-24,effective realization of abatement measures can reduce hfc23 emissions,"['effective', 'realization', 'of', 'abatement', 'measures', 'can', 'reduce', 'hfc23', 'emissions']","['effective', 'realization', 'abatement', 'measures', 'reduce', 'hfc23', 'emissions']","['effect', 'realiz', 'abat', 'measur', 'reduc', 'hfc23', 'emiss']","['effective', 'realization', 'abatement', 'measure', 'reduce', 'hfc23', 'emission']"
Article,Short-term post-fast refeeding enhances intestinal stemness via polyamines,Post-fast refeeding increases intestinal stem cell function and tumour formation by augmenting protein synthesis via polyamine metabolism.,"Shinya Imada, Saleh Khawaled, Ömer H. Yilmaz",21-Aug-24,shortterm postfast refeeding enhances intestinal stemness via polyamines,"['shortterm', 'postfast', 'refeeding', 'enhances', 'intestinal', 'stemness', 'via', 'polyamines']","['shortterm', 'postfast', 'refeeding', 'enhances', 'intestinal', 'stemness', 'via', 'polyamines']","['shortterm', 'postfast', 'refeed', 'enhanc', 'intestin', 'stem', 'via', 'polyamin']","['shortterm', 'postfast', 'refeeding', 'enhances', 'intestinal', 'stemness', 'via', 'polyamines']"
Article,Highly variable magmatic accretion at the ultraslow-spreading Gakkel Ridge,"Results from a high-resolution ocean-bottom seismometer experiment at the ultraslow-spreading Gakkel Ridge show unexpected highly variable crustal thickness and a relatively large average value, which can be explained by an active mantle upwelling model.","Tao Zhang, Jiabiao Li, Jason P. Morgan",21-Aug-24,highly variable magmatic accretion at the ultraslowspreading gakkel ridge,"['highly', 'variable', 'magmatic', 'accretion', 'at', 'the', 'ultraslowspreading', 'gakkel', 'ridge']","['highly', 'variable', 'magmatic', 'accretion', 'ultraslowspreading', 'gakkel', 'ridge']","['highli', 'variabl', 'magmat', 'accret', 'ultraslowspread', 'gakkel', 'ridg']","['highly', 'variable', 'magmatic', 'accretion', 'ultraslowspreading', 'gakkel', 'ridge']"
Article,Structural insights into the high-affinity IgE receptor FcεRI complex,A study presents high-resolution cryogenic electron microscopy structures detailing how the elements of FcεRI assemble and how this receptor complex interacts with the target immunoglobulin E.,"Meijie Deng, Shuo Du, Junyu Xiao",21-Aug-24,structural insights into the highaffinity ige receptor fcεri complex,"['structural', 'insights', 'into', 'the', 'highaffinity', 'ige', 'receptor', 'fcεri', 'complex']","['structural', 'insights', 'highaffinity', 'ige', 'receptor', 'fcεri', 'complex']","['structur', 'insight', 'highaffin', 'ige', 'receptor', 'fcεri', 'complex']","['structural', 'insight', 'highaffinity', 'ige', 'receptor', 'fcεri', 'complex']"
Article,Human XPR1 structures reveal phosphate export mechanism,Cryo-electron microscopy structures of human XPR1 in different bound forms reveal the structural basis for XPR1 gating and regulation by inositol polyphosphates.,"Rui Yan, Huiwen Chen, Daohua Jiang",21-Aug-24,human xpr1 structures reveal phosphate export mechanism,"['human', 'xpr1', 'structures', 'reveal', 'phosphate', 'export', 'mechanism']","['human', 'xpr1', 'structures', 'reveal', 'phosphate', 'export', 'mechanism']","['human', 'xpr1', 'structur', 'reveal', 'phosphat', 'export', 'mechan']","['human', 'xpr1', 'structure', 'reveal', 'phosphate', 'export', 'mechanism']"
Article,Visualizing chaperonin function in situ by cryo-electron tomography,"Visualizing chaperonin complexes in their natural cellular environment using cryo-electron tomography, the authors propose a GroEL–GroES reaction cycle that consists of linked asymmetrical and symmetrical subreactions mediating protein folding.","Jonathan Wagner, Alonso I. Carvajal, F. Ulrich Hartl",21-Aug-24,visualizing chaperonin function in situ by cryoelectron tomography,"['visualizing', 'chaperonin', 'function', 'in', 'situ', 'by', 'cryoelectron', 'tomography']","['visualizing', 'chaperonin', 'function', 'situ', 'cryoelectron', 'tomography']","['visual', 'chaperonin', 'function', 'situ', 'cryoelectron', 'tomographi']","['visualizing', 'chaperonin', 'function', 'situ', 'cryoelectron', 'tomography']"
Article,Thermal infrared directs host-seeking behaviour inAedes aegyptimosquitoes,The mosquitoAedes aegyptican detect humans through infrared radiation for highly effective mid-range navigation.,"Avinash Chandel, Nicolas A. DeBeaubien, Craig Montell",21-Aug-24,thermal infrared directs hostseeking behaviour inaedes aegyptimosquitoes,"['thermal', 'infrared', 'directs', 'hostseeking', 'behaviour', 'inaedes', 'aegyptimosquitoes']","['thermal', 'infrared', 'directs', 'hostseeking', 'behaviour', 'inaedes', 'aegyptimosquitoes']","['thermal', 'infrar', 'direct', 'hostseek', 'behaviour', 'inaed', 'aegyptimosquito']","['thermal', 'infrared', 'directs', 'hostseeking', 'behaviour', 'inaedes', 'aegyptimosquitoes']"
Article,The periosteum provides a stromal defence against cancer invasion into the bone,Experiments in mouse models and histology of human head and neck squamous cell carcinomas show that TIMP1-mediated periosteal thickening in proximity to tumours acts as a barrier to cancer invasion of the bone.,"Kazutaka Nakamura, Masayuki Tsukasaki, Hiroshi Takayanagi",21-Aug-24,the periosteum provides a stromal defence against cancer invasion into the bone,"['the', 'periosteum', 'provides', 'a', 'stromal', 'defence', 'against', 'cancer', 'invasion', 'into', 'the', 'bone']","['periosteum', 'provides', 'stromal', 'defence', 'cancer', 'invasion', 'bone']","['periosteum', 'provid', 'stromal', 'defenc', 'cancer', 'invas', 'bone']","['periosteum', 'provides', 'stromal', 'defence', 'cancer', 'invasion', 'bone']"
Article,Stem cells tightly regulate dead cell clearance to maintain tissue fitness,The spatiotemporal activation of phagocytosis by hair follicle cells is orchestrated by lipids released from surrounding apoptotic cells and retinoids released by healthy cells.,"Katherine S. Stewart, Merve Deniz Abdusselamoglu, Elaine Fuchs",21-Aug-24,stem cells tightly regulate dead cell clearance to maintain tissue fitness,"['stem', 'cells', 'tightly', 'regulate', 'dead', 'cell', 'clearance', 'to', 'maintain', 'tissue', 'fitness']","['stem', 'cells', 'tightly', 'regulate', 'dead', 'cell', 'clearance', 'maintain', 'tissue', 'fitness']","['stem', 'cell', 'tightli', 'regul', 'dead', 'cell', 'clearanc', 'maintain', 'tissu', 'fit']","['stem', 'cell', 'tightly', 'regulate', 'dead', 'cell', 'clearance', 'maintain', 'tissue', 'fitness']"
Article,Loss of plasticity in deep continual learning,The pervasive problem of artificial neural networks losing plasticity in continual-learning settings is demonstrated and a simple solution called the continual backpropagation algorithm is described to prevent this issue.,"Shibhansh Dohare, J. Fernando Hernandez-Garcia, Richard S. Sutton",21-Aug-24,loss of plasticity in deep continual learning,"['loss', 'of', 'plasticity', 'in', 'deep', 'continual', 'learning']","['loss', 'plasticity', 'deep', 'continual', 'learning']","['loss', 'plastic', 'deep', 'continu', 'learn']","['loss', 'plasticity', 'deep', 'continual', 'learning']"
Article,NAC guides a ribosomal multienzyme complex for nascent protein processing,Cotranslational N-terminal methionine excision and acetylation of eukaryotic proteins on ribosomes is coordinated by the nascent polypeptide-associated complex.,"Alfred M. Lentzsch, Denis Yudin, Shu-ou Shan",21-Aug-24,nac guides a ribosomal multienzyme complex for nascent protein processing,"['nac', 'guides', 'a', 'ribosomal', 'multienzyme', 'complex', 'for', 'nascent', 'protein', 'processing']","['nac', 'guides', 'ribosomal', 'multienzyme', 'complex', 'nascent', 'protein', 'processing']","['nac', 'guid', 'ribosom', 'multienzym', 'complex', 'nascent', 'protein', 'process']","['nac', 'guide', 'ribosomal', 'multienzyme', 'complex', 'nascent', 'protein', 'processing']"
Article,Oligodendrocytes and myelin limit neuronal plasticity in visual cortex,"Through genetic blocking of oligodendrocyte differentiation and myelination in adolescent mice, we demonstrate that oligodendrocytes have a critical role in shaping the maturation and stabilization of visual cortical circuits.","Wendy Xin, Megumi Kaneko, Jonah R. Chan",21-Aug-24,oligodendrocytes and myelin limit neuronal plasticity in visual cortex,"['oligodendrocytes', 'and', 'myelin', 'limit', 'neuronal', 'plasticity', 'in', 'visual', 'cortex']","['oligodendrocytes', 'myelin', 'limit', 'neuronal', 'plasticity', 'visual', 'cortex']","['oligodendrocyt', 'myelin', 'limit', 'neuron', 'plastic', 'visual', 'cortex']","['oligodendrocyte', 'myelin', 'limit', 'neuronal', 'plasticity', 'visual', 'cortex']"
Article,Multi-habitat landscapes are more diverse and stable with improved function,"Species interaction data, a field experiment and modelling of plant–insect communities show that landscapes with more habitat types support more even species, more complementary interactions, are more consistently robust to species loss, and confer greater pollination function.","Talya D. Hackett, Alix M. C. Sauve, Jane Memmott",21-Aug-24,multihabitat landscapes are more diverse and stable with improved function,"['multihabitat', 'landscapes', 'are', 'more', 'diverse', 'and', 'stable', 'with', 'improved', 'function']","['multihabitat', 'landscapes', 'diverse', 'stable', 'improved', 'function']","['multihabitat', 'landscap', 'divers', 'stabl', 'improv', 'function']","['multihabitat', 'landscape', 'diverse', 'stable', 'improved', 'function']"
Article,Prefrontal and lateral entorhinal neurons co-dependently learn item–outcome rules,The bidirectional loop circuit between layers 5/6 of the lateral entorhinal cortex and the medial prefrontal cortex encodes item–outcome associative memory in mice.,"Heechul Jun, Jason Y. Lee, Kei M. Igarashi",21-Aug-24,prefrontal and lateral entorhinal neurons codependently learn itemoutcome rules,"['prefrontal', 'and', 'lateral', 'entorhinal', 'neurons', 'codependently', 'learn', 'itemoutcome', 'rules']","['prefrontal', 'lateral', 'entorhinal', 'neurons', 'codependently', 'learn', 'itemoutcome', 'rules']","['prefront', 'later', 'entorhin', 'neuron', 'codepend', 'learn', 'itemoutcom', 'rule']","['prefrontal', 'lateral', 'entorhinal', 'neuron', 'codependently', 'learn', 'itemoutcome', 'rule']"
Article,Observation of the antimatter hypernucleus\({}_{\bar{{\boldsymbol{\Lambda }}}}{}^{{\bf{4}}}\bar{{\bf{H}}}\),"An antimatter hypernucleus formed by an anti-lambda hadron, an antiproton and two antineutrons was observed through its two-body decay after production in ultrarelativistic heavy-ion collisions.","M. I. Abdulhamid, B. E. Aboona, M. Zyzak",21-Aug-24,observation of the antimatter hypernucleus_barboldsymbollambda bf4barbfh,"['observation', 'of', 'the', 'antimatter', 'hypernucleus_barboldsymbollambda', 'bf4barbfh']","['observation', 'antimatter', 'hypernucleus_barboldsymbollambda', 'bf4barbfh']","['observ', 'antimatt', 'hypernucleus_barboldsymbollambda', 'bf4barbfh']","['observation', 'antimatter', 'hypernucleus_barboldsymbollambda', 'bf4barbfh']"
Article,Lysosomes drive the piecemeal removal of mitochondrial inner membrane,"We show that cytosolic inner mitochondrial membrane vesicles, devoid of outer mitochondrial membrane or mitochondrial matrix, are formed during resting state and directly herniate into lysosomes through pores formed by voltage-dependent anion channel 1 in the outer mitochondrial membrane, thereby allowing their selective removal.","Akriti Prashar, Claudio Bussi, Nicola L. Jones",21-Aug-24,lysosomes drive the piecemeal removal of mitochondrial inner membrane,"['lysosomes', 'drive', 'the', 'piecemeal', 'removal', 'of', 'mitochondrial', 'inner', 'membrane']","['lysosomes', 'drive', 'piecemeal', 'removal', 'mitochondrial', 'inner', 'membrane']","['lysosom', 'drive', 'piecem', 'remov', 'mitochondri', 'inner', 'membran']","['lysosome', 'drive', 'piecemeal', 'removal', 'mitochondrial', 'inner', 'membrane']"
Article,Observation of the antimatter hypernucleus\({}_{\bar{{\boldsymbol{\Lambda }}}}{}^{{\bf{4}}}\bar{{\bf{H}}}\),"An antimatter hypernucleus formed by an anti-lambda hadron, an antiproton and two antineutrons was observed through its two-body decay after production in ultrarelativistic heavy-ion collisions.","M. I. Abdulhamid, B. E. Aboona, M. Zyzak",21-Aug-24,observation of the antimatter hypernucleus_barboldsymbollambda bf4barbfh,"['observation', 'of', 'the', 'antimatter', 'hypernucleus_barboldsymbollambda', 'bf4barbfh']","['observation', 'antimatter', 'hypernucleus_barboldsymbollambda', 'bf4barbfh']","['observ', 'antimatt', 'hypernucleus_barboldsymbollambda', 'bf4barbfh']","['observation', 'antimatter', 'hypernucleus_barboldsymbollambda', 'bf4barbfh']"
Article,Lysosomes drive the piecemeal removal of mitochondrial inner membrane,"We show that cytosolic inner mitochondrial membrane vesicles, devoid of outer mitochondrial membrane or mitochondrial matrix, are formed during resting state and directly herniate into lysosomes through pores formed by voltage-dependent anion channel 1 in the outer mitochondrial membrane, thereby allowing their selective removal.","Akriti Prashar, Claudio Bussi, Nicola L. Jones",21-Aug-24,lysosomes drive the piecemeal removal of mitochondrial inner membrane,"['lysosomes', 'drive', 'the', 'piecemeal', 'removal', 'of', 'mitochondrial', 'inner', 'membrane']","['lysosomes', 'drive', 'piecemeal', 'removal', 'mitochondrial', 'inner', 'membrane']","['lysosom', 'drive', 'piecem', 'remov', 'mitochondri', 'inner', 'membran']","['lysosome', 'drive', 'piecemeal', 'removal', 'mitochondrial', 'inner', 'membrane']"
Article,Chandrayaan-3 APXS elemental abundance measurements at lunar high latitude,"In situ measurements of the elemental abundances in the lunar southern high-latitude regions show that the local terrain is fairly uniform and mostly composed of ferroan anorthosite, a product of lunar magma ocean crystallization.","Santosh V. Vadawale, N. P. S. Mithun, Amitabh",21-Aug-24,chandrayaan3 apxs elemental abundance measurements at lunar high latitude,"['chandrayaan3', 'apxs', 'elemental', 'abundance', 'measurements', 'at', 'lunar', 'high', 'latitude']","['chandrayaan3', 'apxs', 'elemental', 'abundance', 'measurements', 'lunar', 'high', 'latitude']","['chandrayaan3', 'apx', 'element', 'abund', 'measur', 'lunar', 'high', 'latitud']","['chandrayaan3', 'apxs', 'elemental', 'abundance', 'measurement', 'lunar', 'high', 'latitude']"
Article,Attosecond delays in X-ray molecular ionization,Time-resolved measurements of the X-ray photoemission delay of core-level electrons using attosecond soft X-ray pulses from a free-electron laser can be used to determine the complex correlated dynamics of photoionization.,"Taran Driver, Miles Mountney, James P. Cryan",21-Aug-24,attosecond delays in xray molecular ionization,"['attosecond', 'delays', 'in', 'xray', 'molecular', 'ionization']","['attosecond', 'delays', 'xray', 'molecular', 'ionization']","['attosecond', 'delay', 'xray', 'molecular', 'ioniz']","['attosecond', 'delay', 'xray', 'molecular', 'ionization']"
